Species;link
Chikorita;https://pokejungle.net/sprites/normal/0152.png
Bayleef;https://pokejungle.net/sprites/normal/0153.png
Meganium;https://pokejungle.net/sprites/normal/0154.png
Tepig;https://pokejungle.net/sprites/normal/0498.png
Pignite;https://pokejungle.net/sprites/normal/0499.png
Emboar;https://pokejungle.net/sprites/normal/0500.png
Totodile;https://pokejungle.net/sprites/normal/0158.png
Croconaw;https://pokejungle.net/sprites/normal/0159.png
Feraligatr;https://pokejungle.net/sprites/normal/0160.png
Fletchling;https://pokejungle.net/sprites/normal/0661.png
Fletchinder;https://pokejungle.net/sprites/normal/0662.png
Talonflame;https://pokejungle.net/sprites/normal/0663.png
Bunnelby;https://pokejungle.net/sprites/normal/0659.png
Diggersby;https://pokejungle.net/sprites/normal/0660.png
Scatterbug;https://pokejungle.net/sprites/normal/0664.png
Weedle;https://pokejungle.net/sprites/normal/0013.png
Kakuna;https://pokejungle.net/sprites/normal/0014.png
Beedrill;https://pokejungle.net/sprites/normal/0015.png
Pidgey;https://pokejungle.net/sprites/normal/0016.png
Pidgeotto;https://pokejungle.net/sprites/normal/0017.png
Pidgeot;https://pokejungle.net/sprites/normal/0018.png
Mareep;https://pokejungle.net/sprites/normal/0179.png
Flaaffy;https://pokejungle.net/sprites/normal/0180.png
Ampharos;https://pokejungle.net/sprites/normal/0181.png
Patrat;https://pokejungle.net/sprites/normal/0504.png
Watchog;https://pokejungle.net/sprites/normal/0505.png
Budew;https://pokejungle.net/sprites/normal/0406.png
Roselia;https://pokejungle.net/sprites/normal/0315.png
Roserade;https://pokejungle.net/sprites/normal/0407.png
Magikarp;https://pokejungle.net/sprites/normal/0129.png
Gyarados;https://pokejungle.net/sprites/normal/0130.png
Staryu;https://pokejungle.net/sprites/normal/0120.png
Starmie;https://pokejungle.net/sprites/normal/0121.png
Trubbish;https://pokejungle.net/sprites/normal/0568.png
Garbodor;https://pokejungle.net/sprites/normal/0569.png
Pichu;https://pokejungle.net/sprites/normal/0172.png
Pikachu;https://pokejungle.net/sprites/normal/0025.png
Raichu;https://pokejungle.net/sprites/normal/0026.png
Cleffa;https://pokejungle.net/sprites/normal/0173.png
Clefairy;https://pokejungle.net/sprites/normal/0035.png
Clefable;https://pokejungle.net/sprites/normal/0036.png
Spinarak;https://pokejungle.net/sprites/normal/0167.png
Ariados;https://pokejungle.net/sprites/normal/0168.png
Ekans;https://pokejungle.net/sprites/normal/0023.png
Arbok;https://pokejungle.net/sprites/normal/0024.png
Abra;https://pokejungle.net/sprites/normal/0063.png
Kadabra;https://pokejungle.net/sprites/normal/0064.png
Alakazam;https://pokejungle.net/sprites/normal/0065.png
Gastly;https://pokejungle.net/sprites/normal/0092.png
Haunter;https://pokejungle.net/sprites/normal/0093.png
Gengar;https://pokejungle.net/sprites/normal/0094.png
Venipede;https://pokejungle.net/sprites/normal/0543.png
Whirlipede;https://pokejungle.net/sprites/normal/0544.png
Scolipede;https://pokejungle.net/sprites/normal/0545.png
Bellsprout;https://pokejungle.net/sprites/normal/0069.png
Weepinbell;https://pokejungle.net/sprites/normal/0070.png
Victreebel;https://pokejungle.net/sprites/normal/0071.png
Pansage;https://pokejungle.net/sprites/normal/0511.png
Simisage;https://pokejungle.net/sprites/normal/0512.png
Pansear;https://pokejungle.net/sprites/normal/0513.png
Simisear;https://pokejungle.net/sprites/normal/0514.png
Panpour;https://pokejungle.net/sprites/normal/0515.png
Simipour;https://pokejungle.net/sprites/normal/0516.png
Meditite;https://pokejungle.net/sprites/normal/0307.png
Medicham;https://pokejungle.net/sprites/normal/0308.png
Electrike;https://pokejungle.net/sprites/normal/0309.png
Manectric;https://pokejungle.net/sprites/normal/0310.png
Ralts;https://pokejungle.net/sprites/normal/0280.png
Kirlia;https://pokejungle.net/sprites/normal/0281.png
Gardevoir;https://pokejungle.net/sprites/normal/0282.png
Gallade;https://pokejungle.net/sprites/normal/0475.png
Houndour;https://pokejungle.net/sprites/normal/0228.png
Houndoom;https://pokejungle.net/sprites/normal/0229.png
Swablu;https://pokejungle.net/sprites/normal/0333.png
Altaria;https://pokejungle.net/sprites/normal/0334.png
Audino;https://pokejungle.net/sprites/normal/0531.png
Eevee;https://pokejungle.net/sprites/normal/0133.png
Vaporeon;https://pokejungle.net/sprites/normal/0134.png
Jolteon;https://pokejungle.net/sprites/normal/0135.png
Flareon;https://pokejungle.net/sprites/normal/0136.png
Espeon;https://pokejungle.net/sprites/normal/0196.png
Umbreon;https://pokejungle.net/sprites/normal/0197.png
Leafeon;https://pokejungle.net/sprites/normal/0470.png
Glaceon;https://pokejungle.net/sprites/normal/0471.png
Buneary;https://pokejungle.net/sprites/normal/0427.png
Lopunny;https://pokejungle.net/sprites/normal/0428.png
Shuppet;https://pokejungle.net/sprites/normal/0353.png
Banette;https://pokejungle.net/sprites/normal/0354.png
Vanillite;https://pokejungle.net/sprites/normal/0582.png
Vanillish;https://pokejungle.net/sprites/normal/0583.png
Vanilluxe;https://pokejungle.net/sprites/normal/0584.png
Numel;https://pokejungle.net/sprites/normal/0322.png
Camerupt;https://pokejungle.net/sprites/normal/0323.png
Hippopotas;https://pokejungle.net/sprites/normal/0449.png
Hippowdon;https://pokejungle.net/sprites/normal/0450.png
Drilbur;https://pokejungle.net/sprites/normal/0529.png
Excadrill;https://pokejungle.net/sprites/normal/0530.png
Sandile;https://pokejungle.net/sprites/normal/0551.png
Krokorok;https://pokejungle.net/sprites/normal/0552.png
Krookodile;https://pokejungle.net/sprites/normal/0553.png
Machop;https://pokejungle.net/sprites/normal/0066.png
Machoke;https://pokejungle.net/sprites/normal/0067.png
Machamp;https://pokejungle.net/sprites/normal/0068.png
Gible;https://pokejungle.net/sprites/normal/0443.png
Gabite;https://pokejungle.net/sprites/normal/0444.png
Garchomp;https://pokejungle.net/sprites/normal/0445.png
Sableye;https://pokejungle.net/sprites/normal/0302.png
Mawile;https://pokejungle.net/sprites/normal/0303.png
Absol;https://pokejungle.net/sprites/normal/0359.png
Riolu;https://pokejungle.net/sprites/normal/0447.png
Lucario;https://pokejungle.net/sprites/normal/0448.png
